"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | BMW | Jaguar | Mercedes-Benz | Porsche | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD381D750"
"ColumnCount:",13
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #"
"01/1975",7606,,,,10,7446,,,,10,,
"02/1975",7018,,,,12,6920,,,,12,,
"03/1975",8156,,,,16,8002,,,,16,,
"04/1975",8144,,,,22,7952,,,,22,,
"05/1975",9964,,,,16,9682,,,,16,,
"06/1975",10114,,,,10,9830,,,,10,,
"07/1975",10462,,,,16,10188,,,,16,,
"08/1975",10742,,,,28,10450,,,,26,,
"09/1975",9750,,,,4,9490,,,,4,,
"10/1975",9916,,,,10,9614,,,,10,,
"11/1975",9722,,,,20,9470,,,,20,,
"12/1975",9468,,,,14,9264,,,,14,,
"01/1976",7498,,,,10,7342,,,,10,,
"02/1976",7402,,,,16,7248,,,,16,,
"03/1976",7868,,,,14,7698,,,,14,,
"04/1976",8682,,,,12,8464,,,,12,,
"05/1976",10150,,,,10,9930,,,,10,,
"06/1976",9750,,,,18,9494,,,,18,,
"07/1976",11222,,,,8,10956,,,,8,,
"08/1976",10714,,,,16,10506,,,,16,,
"09/1976",9900,,,,8,9736,,,,8,,
"10/1976",10506,,,,18,10282,,,,18,,
"11/1976",8676,,,,12,8512,,,,12,,
"12/1976",9800,,,,12,9668,,,,12,,
"01/1977",7026,4,,,12,6916,,,,12,,
"02/1977",7342,4,,,14,7202,4,,,14,,
"03/1977",8820,20,,,22,8658,20,,,20,,
"04/1977",9358,14,,,12,9216,14,,,12,,
"05/1977",10172,26,,,18,10022,26,,,18,,
"06/1977",10940,14,,,14,10702,14,,,14,,
"07/1977",12304,18,,,20,12008,18,,,20,,
"08/1977",11718,34,,,18,11528,34,,,18,,
"09/1977",10670,24,,,8,10430,24,,,8,,
"10/1977",11464,34,,,18,11248,32,,,18,,
"11/1977",10518,18,,,16,10346,18,,,16,,
"12/1977",10698,16,,,18,10556,14,,,18,,
"01/1978",7140,12,,12,8,7010,12,,10,8,,
"02/1978",6914,8,,14,12,6748,8,,14,12,,
"03/1978",9068,12,,12,12,8936,12,,12,12,,
"04/1978",9946,16,,12,22,9788,16,,12,22,,
"05/1978",11122,18,,26,16,10908,18,,26,16,,
"06/1978",11918,18,,16,22,11664,18,,16,22,,
"07/1978",12576,16,,22,34,12250,16,,22,34,,
"08/1978",12632,24,,18,26,12404,24,,18,26,,
"09/1978",12204,20,,18,22,11972,20,,18,22,,
"10/1978",12038,32,,20,20,11788,32,,20,20,,
"11/1978",11308,18,,36,34,11140,18,,34,34,,
"12/1978",11422,16,,22,18,11214,16,,22,18,,
"01/1979",8192,8,,22,20,8080,8,,22,20,,
"02/1979",8318,12,,16,14,8194,12,,16,14,,
"03/1979",10402,12,,18,12,10254,12,,18,12,,
"04/1979",10404,18,,16,14,10258,18,,16,14,,
"05/1979",10982,18,,20,6,10802,18,,20,6,,
"06/1979",11226,32,,16,16,10968,32,,16,16,,
"07/1979",11802,24,,22,12,11596,24,,22,12,,
"08/1979",11882,24,,28,16,11716,24,,28,16,,
"09/1979",11684,26,,26,20,11556,26,,26,20,,
"10/1979",11750,18,,22,16,11590,18,,22,16,,
"11/1979",11124,12,,26,18,10958,12,,26,18,,
"12/1979",11758,34,,24,22,11632,34,,24,22,,
"01/1980",8668,16,4,32,16,8600,16,4,32,16,,
"02/1980",8194,6,,16,10,8126,6,,16,10,,
"03/1980",9070,20,2,16,16,8994,20,2,16,16,,
"04/1980",9452,10,4,24,24,9358,10,4,24,24,,
"05/1980",11248,30,4,28,22,11146,30,4,26,22,,
"06/1980",11972,38,,34,14,11860,38,,34,14,,
"07/1980",11902,30,6,24,26,11788,30,6,24,26,,
"08/1980",13202,42,2,38,16,13070,42,2,38,16,,
"09/1980",11112,32,,26,16,11004,32,,26,16,,
"10/1980",10898,22,6,34,16,10790,22,6,34,16,,
"11/1980",10608,20,4,20,20,10534,20,4,20,20,,
"12/1980",10644,20,,26,6,10586,20,,26,6,,
"01/1981",9080,30,4,22,10,8888,30,4,22,10,,
"02/1981",8682,30,2,12,8,8556,30,2,12,8,,
"03/1981",9312,14,4,10,14,9174,12,4,10,14,,
"04/1981",9872,14,2,24,8,9708,12,2,24,8,,
"05/1981",10690,12,2,40,18,10528,12,2,40,18,,
"06/1981",11108,38,4,16,14,10904,38,4,16,14,,
"07/1981",11952,36,6,12,14,11728,36,6,12,14,,
"08/1981",12442,28,2,30,14,12218,26,2,30,14,,
"09/1981",10852,24,2,18,20,10660,24,2,18,20,,
"10/1981",10900,22,,28,20,10734,22,,28,20,,
"11/1981",10162,16,2,18,22,10008,16,2,18,22,,
"12/1981",10346,22,,36,10,10222,22,,36,10,,
"01/1982",7652,14,2,16,12,7542,14,2,14,12,,
"02/1982",7282,18,2,10,14,7202,18,2,10,14,,
"03/1982",8612,24,6,14,4,8514,24,6,14,4,,
"04/1982",9158,28,2,16,16,9080,28,2,16,16,,
"05/1982",9886,20,2,22,24,9776,20,2,22,24,,
"06/1982",9872,30,,28,14,9750,30,,28,14,,
"07/1982",10698,46,6,22,12,10532,46,6,22,12,,
"08/1982",10696,24,,18,12,10554,24,,18,12,,
"09/1982",10006,34,4,24,18,9892,34,4,24,18,,
"10/1982",10364,26,2,10,10,10242,26,2,10,10,,
"11/1982",9114,18,4,30,8,9006,18,4,30,8,,
"12/1982",9570,28,2,22,18,9454,28,2,22,18,,
"01/1983",7440,16,4,18,8,7346,16,4,18,8,,
"02/1983",7056,18,,16,2,6966,18,,16,2,,
"03/1983",7848,30,2,36,8,7758,30,2,36,8,,
"04/1983",8428,24,2,20,12,8304,24,2,20,12,,
"05/1983",9382,24,,26,8,9282,24,,26,8,,
"06/1983",9546,28,,26,22,9460,28,,26,22,,
"07/1983",10548,32,2,34,16,10380,32,2,34,16,,
"08/1983",10620,22,4,20,16,10498,22,4,20,16,,
"09/1983",10282,26,6,28,20,10140,26,6,28,20,,
"10/1983",10244,18,4,32,20,10106,18,4,32,20,,
"11/1983",9386,16,2,30,12,9262,16,2,30,12,,
"12/1983",9432,12,8,20,16,9314,12,8,20,16,,
"01/1984",7586,14,8,20,12,7498,14,8,20,12,,
"02/1984",7416,18,,14,12,7362,18,,14,12,,
"03/1984",8610,22,4,26,8,8544,22,4,26,8,,
"04/1984",8470,22,2,32,8,8398,22,2,32,8,,
"05/1984",9878,30,2,30,32,9784,30,2,30,32,,
"06/1984",10776,28,6,30,14,10706,28,6,30,14,,
"07/1984",10972,28,2,28,18,10892,28,2,28,18,,
"08/1984",11124,26,4,14,14,11010,26,4,14,14,,
"09/1984",10718,34,10,12,24,10622,34,10,12,24,,
"10/1984",10576,24,4,30,16,10494,24,4,30,16,,
"11/1984",9834,30,4,10,18,9736,30,4,10,18,,
"12/1984",9984,10,,18,18,9882,10,,18,18,,
"01/1985",8092,20,2,24,12,8026,20,2,24,12,,
"02/1985",7320,24,4,16,8,7242,24,4,16,8,,
"03/1985",8614,18,8,28,10,8540,18,8,28,10,,
"04/1985",9220,32,,18,16,9154,32,,18,16,,
"05/1985",10412,26,10,22,16,10356,26,10,22,16,,
"06/1985",10958,32,2,32,2,10888,32,2,30,2,,
"07/1985",10780,28,10,34,18,10694,28,10,34,18,,
"08/1985",11314,38,2,30,26,11220,38,2,30,26,,
"09/1985",10068,22,8,24,18,9992,22,8,24,18,,
"10/1985",10240,44,,30,22,10150,44,,30,22,,
